first_name,last_name,birth_place,birth_date,country_living_in,email,phone
Shellie,Bernetti,,,,sbernetti0@eventbrite.com,
Kelvin,Malletratt,Berezne,1974-12-01,Ukraine,kmalletratt1@ifeng.com,(392) 8029017
Celie,Minards,Lechinkay,1950-10-26,Russia,cminards2@ox.ac.uk,(775) 9818357
Jemimah,Lyard,Armanāz,1974-08-17,Syria,jlyard3@gizmodo.com,(435) 7120626
Heidi,Erskin,San Luis Ixcán,1962-05-13,Guatemala,herskin4@time.com,(551) 3186106
Mehetabel,Wiggington,Gaplek,1987-06-06,Indonesia,mwiggington5@npr.org,(860) 4014298
Jaquelin,Edgley,Gaoxu,1972-10-15,China,jedgley6@wufoo.com,(125) 7429773
Kirsteni,Hatherill,Pando,1992-01-22,Uruguay,khatherill7@washington.edu,(890) 2142875
Barbaraanne,Sirr,Espargos,1990-03-28,Cape Verde,bsirr8@narod.ru,(979) 1368505
Roscoe,Pettegree,Vila Franca das Naves,1976-11-05,Portugal,rpettegree9@chronoengine.com,(635) 8203154
Nikola,Wiggam,Fenghuang,1964-12-11,China,nwiggama@auda.org.au,(875) 3377373
Krissy,Brigstock,Caper,1962-06-03,Indonesia,,(444) 6463956
Tris,Marquand,Gatesville,1971-01-22,United States,tmarquandc@stanford.edu,(254) 7882623
Rachele,De Antoni,Tungoo,1951-03-29,Indonesia,rdeantonid@whitehouse.gov,(409) 2108749
Danny,Shepheard,Santa Ana,1985-12-06,United States,dshephearde@dyndns.org,(714) 3492255
Garret,Resun,Kontagora,1974-12-09,Nigeria,gresunf@list-manage.com,(150) 6857285
Liliane,Hackley,Jinping,1985-03-05,China,lhackleyg@springer.com,(671) 1532827
Layton,Franek,Mawza‘,1978-07-31,Yemen,lfranekh@amazonaws.com,(802) 8083755
Tomasina,Osorio,Litein,1963-08-30,Kenya,tosorioi@ycombinator.com,(666) 5348529
Merrick,Bramhill,Xiyang,1983-02-23,China,mbramhillj@theatlantic.com,(150) 9392513
Kamilah,Lay,Looc,1951-05-13,Philippines,klayk@msn.com,(739) 4505246
Hillel,Haddow,Syrostan,1979-08-31,Russia,hhaddowl@columbia.edu,(768) 5475712
Milena,Dreier,,,,mdreierm@dion.ne.jp,
